Date,Predicted Sales
2017-01-01,97409.05
2017-01-02,41094.734
2017-01-03,14381.1
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,14444.536
2017-01-07,15947.08
2017-01-08,10903.379
2017-01-09,41330.113
2017-01-10,56293.027
2017-01-11,69097.0
2017-01-12,87958.0
2017-01-13,133380.25
2017-01-14,153229.42
2017-01-15,96380.96
2017-01-16,108466.664
2017-01-17,119491.47
2017-01-18,126737.664
2017-01-19,142370.48
2017-01-20,198820.12
2017-01-21,217568.66
2017-01-22,131673.45
2017-01-23,147955.39
2017-01-24,153519.31
2017-01-25,160266.1
2017-01-26,168558.67
2017-01-27,226869.27
2017-01-28,244943.39
2017-01-29,143781.0
2017-01-30,162355.66
2017-01-31,165971.98
2017-02-01,170355.0
2017-02-02,176291.88
2017-02-03,237262.11
2017-02-04,255841.1
2017-02-05,147292.94
2017-02-06,165819.8
2017-02-07,168656.1
2017-02-08,172753.42
2017-02-09,178092.44
2017-02-10,243069.25
2017-02-11,262130.19
2017-02-12,148382.42
2017-02-13,166265.06
2017-02-14,168633.62
2017-02-15,173093.52
2017-02-16,178313.66
2017-02-17,247949.0
2017-02-18,267582.94
2017-02-19,149007.33
2017-02-20,166049.95
2017-02-21,167997.55
2017-02-22,172995.9
2017-02-23,178171.19
2017-02-24,252866.98
2017-02-25,273172.1
2017-02-26,149724.33
2017-02-27,165794.33
2017-02-28,167315.22
2017-03-01,172893.03
2017-03-02,177989.89
2017-03-03,258019.52
2017-03-04,279080.62
2017-03-05,150658.2
2017-03-06,165809.45
2017-03-07,166902.66
2017-03-08,173025.44
2017-03-09,177972.08
2017-03-10,263380.72
2017-03-11,285180.28
2017-03-12,151806.77
2017-03-13,166291.97
2017-03-14,167545.95
2017-03-15,173660.69
2017-03-16,178403.03
2017-03-17,268670.8
2017-03-18,291250.66
2017-03-19,153125.38
2017-03-20,166921.55
2017-03-21,168828.27
2017-03-22,174627.52
2017-03-23,179109.72
2017-03-24,274229.12
2017-03-25,297556.94
2017-03-26,154765.19
2017-03-27,167896.1
2017-03-28,170331.72
2017-03-29,176231.0
2017-03-30,180250.69
2017-03-31,280168.0
2017-04-01,304170.94
2017-04-02,156872.08
2017-04-03,169352.4
2017-04-04,172156.52
2017-04-05,178031.03
2017-04-06,181504.8
2017-04-07,286099.03
2017-04-08,310756.16
2017-04-09,159174.94
2017-04-10,171033.06
2017-04-11,174018.38
2017-04-12,179799.81
2017-04-13,182692.55
2017-04-14,291710.1
2017-04-15,316990.62
2017-04-16,161542.53
2017-04-17,172741.06
2017-04-18,175703.05
2017-04-19,181281.4
2017-04-20,183616.66
2017-04-21,296693.8
2017-04-22,322567.16
2017-04-23,163826.22
2017-04-24,174220.69
2017-04-25,177147.67
2017-04-26,182384.56
2017-04-27,184221.14
2017-04-28,301013.53
2017-04-29,327420.47
2017-04-30,165878.45
2017-05-01,175522.77
2017-05-02,178008.75
2017-05-03,182995.31
2017-05-04,184600.55
2017-05-05,304218.4
2017-05-06,331089.2
2017-05-07,167655.75
2017-05-08,176496.03
2017-05-09,178521.56
2017-05-10,183231.55
2017-05-11,184649.06
2017-05-12,306496.06
2017-05-13,333675.34
2017-05-14,169197.53
2017-05-15,177196.03
2017-05-16,178736.06
2017-05-17,183131.14
2017-05-18,184387.14
2017-05-19,307633.38
2017-05-20,335095.72
2017-05-21,170432.88
2017-05-22,177542.31
2017-05-23,178585.52
2017-05-24,182640.12
2017-05-25,183765.88
2017-05-26,307995.25
2017-05-27,335695.75
2017-05-28,171485.86
2017-05-29,177701.95
2017-05-30,178220.95
2017-05-31,181882.33
2017-06-01,182871.27
2017-06-02,307708.22
2017-06-03,335632.25
2017-06-04,172389.36
2017-06-05,177728.78
2017-06-06,177691.19
2017-06-07,180897.48
2017-06-08,181724.33
2017-06-09,306813.53
2017-06-10,334975.16
2017-06-11,173135.67
2017-06-12,177629.67
2017-06-13,177187.48
2017-06-14,179809.36
2017-06-15,180437.81
2017-06-16,305454.84
2017-06-17,333881.7
2017-06-18,173765.6
2017-06-19,177470.16
2017-06-20,176704.47
2017-06-21,178631.83
2017-06-22,179012.53
2017-06-23,304272.3
2017-06-24,332976.6
2017-06-25,174514.38
2017-06-26,177567.53
2017-06-27,176411.25
2017-06-28,177535.12
2017-06-29,177542.84
2017-06-30,303051.94
2017-07-01,332288.62
2017-07-02,175327.2
2017-07-03,177875.16
2017-07-04,176274.62
2017-07-05,176506.22
2017-07-06,176213.22
2017-07-07,301786.0
2017-07-08,332310.44
2017-07-09,176348.22
2017-07-10,178589.95
2017-07-11,176468.61
2017-07-12,175708.38
2017-07-13,175668.2
2017-07-14,301229.56
2017-07-15,333057.44
2017-07-16,177686.42
2017-07-17,179874.17
2017-07-18,177124.25
2017-07-19,175363.56
2017-07-20,175514.62
2017-07-21,300938.0
2017-07-22,334134.38
2017-07-23,179116.0
2017-07-24,181467.34
2017-07-25,178042.08
2017-07-26,175852.47
2017-07-27,175820.27
2017-07-28,300926.5
2017-07-29,335400.03
2017-07-30,180674.52
2017-07-31,183383.38
2017-08-01,179812.34
2017-08-02,177053.0
2017-08-03,176712.06
2017-08-04,301383.06
2017-08-05,337044.66
2017-08-06,182466.95
2017-08-07,185742.95
2017-08-08,182412.97
2017-08-09,178999.6
2017-08-10,178216.52
2017-08-11,302342.66
2017-08-12,339094.9
2017-08-13,184429.0
2017-08-14,188527.98
2017-08-15,185235.8
2017-08-16,181295.4
2017-08-17,179921.0
2017-08-18,303288.6
2017-08-19,341025.7
2017-08-20,186642.7
2017-08-21,191606.81
2017-08-22,188096.88
2017-08-23,184140.1
2017-08-24,181943.25
2017-08-25,303556.4
2017-08-26,342143.97
2017-08-27,188486.69
2017-08-28,194441.38
2017-08-29,190793.97
2017-08-30,187018.84
2017-08-31,184016.34
2017-09-01,302980.84
2017-09-02,342197.0
2017-09-03,189752.42
2017-09-04,196839.5
2017-09-05,193163.16
2017-09-06,189630.25
2017-09-07,185918.67
2017-09-08,301309.3
2017-09-09,340903.0
2017-09-10,190319.2
2017-09-11,198628.47
2017-09-12,195055.0
2017-09-13,191578.3
2017-09-14,187354.25
2017-09-15,298710.5
2017-09-16,338383.25
2017-09-17,190218.97
2017-09-18,199738.8
2017-09-19,196443.53
2017-09-20,192310.33
2017-09-21,187897.17
2017-09-22,294772.72
2017-09-23,334280.5
2017-09-24,189236.75
2017-09-25,199907.92
2017-09-26,197067.69
2017-09-27,192471.81
2017-09-28,188044.78
2017-09-29,289974.03
2017-09-30,328970.7
2017-10-01,187617.16
2017-10-02,199460.52
2017-10-03,197030.5
2017-10-04,192149.55
2017-10-05,187836.81
2017-10-06,284507.6
2017-10-07,322683.44
2017-10-08,185455.86
2017-10-09,198471.1
2017-10-10,196538.25
2017-10-11,191474.67
2017-10-12,187381.3
2017-10-13,278682.66
2017-10-14,315740.56
2017-10-15,182902.78
2017-10-16,197079.72
2017-10-17,195698.61
2017-10-18,190523.42
2017-10-19,186722.7
2017-10-20,272658.22
2017-10-21,308346.34
2017-10-22,179992.64
2017-10-23,195386.5
2017-10-24,194560.25
2017-10-25,189329.19
2017-10-26,185874.1
2017-10-27,266556.25
2017-10-28,300628.28
2017-10-29,176769.25
2017-10-30,193371.17
2017-10-31,193099.53
2017-11-01,188035.44
2017-11-02,184928.72
2017-11-03,260580.77
2017-11-04,292437.7
2017-11-05,173213.5
2017-11-06,190928.56
2017-11-07,191213.77
2017-11-08,186724.77
2017-11-09,184395.31
2017-11-10,255114.42
2017-11-11,284377.6
2017-11-12,170175.11
2017-11-13,188659.78
2017-11-14,189528.8
2017-11-15,185608.19
2017-11-16,183905.92
2017-11-17,249470.08
2017-11-18,276314.88
2017-11-19,167019.31
2017-11-20,185800.33
2017-11-21,187329.22
2017-11-22,184085.95
2017-11-23,182987.95
2017-11-24,244034.95
2017-11-25,268598.53
2017-11-26,163783.55
2017-11-27,182734.38
2017-11-28,184861.36
2017-11-29,182377.98
2017-11-30,181859.0
2017-12-01,239078.3
2017-12-02,261528.36
2017-12-03,160601.08
2017-12-04,179658.94
2017-12-05,182275.36
2017-12-06,180597.11
2017-12-07,180594.08
2017-12-08,234732.42
2017-12-09,255277.28
2017-12-10,157540.14
2017-12-11,176732.77
2017-12-12,179679.72
