Date,Predicted Sales
2017-01-01,101788.06
2017-01-02,55450.523
2017-01-03,16997.111
2017-01-04,4925.542
2017-01-05,26828.672
2017-01-06,70492.21
2017-01-07,88231.29
2017-01-08,53685.61
2017-01-09,73160.625
2017-01-10,86363.46
2017-01-11,100636.87
2017-01-12,117408.54
2017-01-13,169365.62
2017-01-14,195414.4
2017-01-15,119961.86
2017-01-16,135296.42
2017-01-17,146627.1
2017-01-18,156021.77
2017-01-19,167896.56
2017-01-20,229601.1
2017-01-21,252526.17
2017-01-22,160433.25
2017-01-23,173187.38
2017-01-24,181543.1
2017-01-25,187733.8
2017-01-26,195740.75
2017-01-27,263766.16
2017-01-28,282971.06
2017-01-29,175026.6
2017-01-30,189774.31
2017-01-31,196812.86
2017-02-01,199544.11
2017-02-02,205058.92
2017-02-03,276601.62
2017-02-04,293856.84
2017-02-05,178494.66
2017-02-06,193947.58
2017-02-07,200094.56
2017-02-08,201982.83
2017-02-09,206655.17
2017-02-10,282389.3
2017-02-11,299229.16
2017-02-12,178268.73
2017-02-13,194581.42
2017-02-14,200341.45
2017-02-15,201808.38
2017-02-16,206092.27
2017-02-17,286480.06
2017-02-18,303448.47
2017-02-19,177123.1
2017-02-20,194365.61
2017-02-21,199824.73
2017-02-22,200941.95
2017-02-23,204882.2
2017-02-24,290327.12
2017-02-25,307728.5
2017-02-26,175903.52
2017-02-27,194073.19
2017-02-28,199197.69
2017-03-01,199936.77
2017-03-02,203461.52
2017-03-03,294091.6
2017-03-04,312223.0
2017-03-05,174902.8
2017-03-06,193896.81
2017-03-07,198622.4
2017-03-08,198932.38
2017-03-09,201943.22
2017-03-10,297793.06
2017-03-11,316929.22
2017-03-12,173882.9
2017-03-13,193782.62
2017-03-14,198043.64
2017-03-15,197883.77
2017-03-16,200289.3
2017-03-17,301311.28
2017-03-18,321723.4
2017-03-19,172990.81
2017-03-20,193754.95
2017-03-21,197485.92
2017-03-22,196815.12
2017-03-23,200984.64
2017-03-24,306423.62
2017-03-25,327939.9
2017-03-26,173067.98
2017-03-27,194577.22
2017-03-28,197620.4
2017-03-29,196293.12
2017-03-30,201948.14
2017-03-31,311697.0
2017-04-01,334209.12
2017-04-02,173459.27
2017-04-03,195629.39
2017-04-04,197891.55
2017-04-05,195855.11
2017-04-06,202857.83
2017-04-07,316902.8
2017-04-08,340113.75
2017-04-09,173951.34
2017-04-10,196724.62
2017-04-11,198143.4
2017-04-12,195374.62
2017-04-13,203606.48
2017-04-14,321726.84
2017-04-15,345902.72
2017-04-16,174597.95
2017-04-17,197891.48
2017-04-18,198410.19
2017-04-19,194886.84
2017-04-20,204204.22
2017-04-21,326132.94
2017-04-22,351537.06
2017-04-23,175392.3
2017-04-24,199123.56
2017-04-25,198691.22
2017-04-26,194398.02
2017-04-27,204669.28
2017-04-28,330095.72
2017-04-29,356968.44
2017-04-30,177574.36
2017-05-01,200829.42
2017-05-02,199377.77
2017-05-03,194252.34
2017-05-04,205448.67
2017-05-05,333987.53
2017-05-06,362463.06
2017-05-07,180500.19
2017-05-08,202905.81
2017-05-09,200369.12
2017-05-10,194370.5
2017-05-11,206246.22
2017-05-12,337526.12
2017-05-13,367778.5
2017-05-14,183514.12
2017-05-15,205053.67
2017-05-16,201405.83
2017-05-17,194542.34
2017-05-18,206898.92
2017-05-19,339101.78
2017-05-20,371730.4
2017-05-21,186022.72
2017-05-22,206721.88
2017-05-23,202012.55
2017-05-24,194378.81
2017-05-25,207133.83
2017-05-26,339401.6
2017-05-27,374692.03
2017-05-28,188164.25
2017-05-29,208043.86
2017-05-30,202332.3
2017-05-31,194012.42
2017-06-01,207042.03
2017-06-02,339069.94
2017-06-03,377096.78
2017-06-04,190133.53
2017-06-05,209217.34
2017-06-06,202556.31
2017-06-07,193616.78
2017-06-08,206746.64
2017-06-09,338033.8
2017-06-10,378883.16
2017-06-11,191895.61
2017-06-12,210222.25
2017-06-13,202680.69
2017-06-14,193201.4
2017-06-15,206260.22
2017-06-16,336454.25
2017-06-17,379513.38
2017-06-18,193235.97
2017-06-19,210842.48
2017-06-20,202555.25
2017-06-21,192649.47
2017-06-22,205500.28
2017-06-23,334345.2
2017-06-24,378827.9
2017-06-25,194073.48
2017-06-26,211049.44
2017-06-27,202153.5
2017-06-28,191950.31
2017-06-29,204470.52
2017-06-30,331731.28
2017-07-01,377591.44
2017-07-02,194699.39
2017-07-03,211105.2
2017-07-04,201717.44
2017-07-05,191321.67
2017-07-06,203344.81
2017-07-07,328900.12
2017-07-08,376053.9
2017-07-09,195073.61
2017-07-10,211079.89
2017-07-11,201318.17
2017-07-12,190832.3
2017-07-13,202181.53
2017-07-14,325966.3
2017-07-15,374310.44
2017-07-16,195306.03
2017-07-17,211043.4
2017-07-18,201031.62
2017-07-19,190554.92
2017-07-20,201048.83
2017-07-21,323050.44
2017-07-22,372456.72
2017-07-23,195508.27
2017-07-24,211067.22
2017-07-25,200932.7
2017-07-26,190558.94
2017-07-27,199951.28
2017-07-28,320206.88
2017-07-29,370529.88
2017-07-30,195701.28
2017-07-31,211171.3
2017-08-01,201045.62
2017-08-02,190867.6
2017-08-03,198959.14
2017-08-04,317530.78
2017-08-05,368597.28
2017-08-06,195914.48
2017-08-07,211386.89
2017-08-08,201401.39
2017-08-09,191506.3
2017-08-10,198214.05
2017-08-11,315184.25
2017-08-12,366648.44
2017-08-13,196148.77
2017-08-14,211728.03
2017-08-15,202010.28
2017-08-16,192479.2
2017-08-17,197733.25
2017-08-18,313196.0
2017-08-19,364763.53
2017-08-20,196427.84
2017-08-21,211984.64
2017-08-22,202792.64
2017-08-23,193705.75
2017-08-24,197338.92
2017-08-25,311368.3
2017-08-26,362530.47
2017-08-27,196572.75
2017-08-28,212037.77
2017-08-29,203405.66
2017-08-30,194940.4
2017-08-31,196830.88
2017-09-01,309410.2
2017-09-02,359255.53
2017-09-03,196286.4
2017-09-04,211797.48
2017-09-05,203642.12
2017-09-06,195640.58
2017-09-07,195968.25
2017-09-08,306233.62
2017-09-09,354748.78
2017-09-10,195404.56
2017-09-11,211049.05
2017-09-12,203543.42
2017-09-13,196146.8
2017-09-14,194745.48
2017-09-15,300719.9
2017-09-16,348060.9
2017-09-17,193480.14
2017-09-18,209316.42
2017-09-19,202700.05
2017-09-20,196100.2
2017-09-21,193051.72
2017-09-22,294500.7
2017-09-23,340544.34
2017-09-24,191075.03
2017-09-25,207177.47
2017-09-26,201513.28
2017-09-27,195855.39
2017-09-28,191272.55
2017-09-29,288085.03
2017-09-30,332729.97
2017-10-01,190036.77
2017-10-02,205389.08
2017-10-03,200676.69
2017-10-04,195973.28
2017-10-05,189845.4
2017-10-06,282002.56
2017-10-07,325166.47
2017-10-08,189697.36
2017-10-09,203907.22
2017-10-10,200235.92
2017-10-11,196412.84
2017-10-12,188854.33
2017-10-13,276328.78
2017-10-14,317954.38
2017-10-15,189407.19
2017-10-16,202541.1
2017-10-17,199953.06
2017-10-18,196971.34
2017-10-19,190731.39
2017-10-20,273225.97
2017-10-21,313241.94
2017-10-22,190164.62
2017-10-23,202249.83
2017-10-24,200825.55
2017-10-25,198393.56
2017-10-26,193295.44
2017-10-27,271186.88
2017-10-28,309536.75
2017-10-29,191286.11
2017-10-30,202349.14
2017-10-31,201941.3
2017-11-01,200022.8
2017-11-02,195992.52
2017-11-03,269670.88
2017-11-04,305508.06
2017-11-05,192040.95
2017-11-06,202272.77
2017-11-07,202742.27
2017-11-08,201400.05
2017-11-09,198424.42
2017-11-10,268327.44
2017-11-11,301852.03
2017-11-12,192527.1
2017-11-13,202093.97
2017-11-14,203406.83
2017-11-15,202616.42
2017-11-16,200654.94
2017-11-17,266895.8
2017-11-18,298484.75
2017-11-19,192663.61
2017-11-20,201752.33
2017-11-21,203867.81
2017-11-22,203608.39
2017-11-23,202791.14
2017-11-24,265882.38
2017-11-25,295513.72
2017-11-26,192372.36
2017-11-27,201283.81
2017-11-28,204147.72
2017-11-29,204387.89
2017-11-30,204654.22
2017-12-01,265285.44
2017-12-02,293000.66
2017-12-03,191584.22
2017-12-04,200668.03
2017-12-05,204223.08
2017-12-06,204931.8
2017-12-07,206211.17
2017-12-08,265113.06
2017-12-09,290770.06
2017-12-10,190578.19
2017-12-11,199960.67
2017-12-12,204145.47
2017-12-13,205282.05
2017-12-14,207491.44
2017-12-15,265472.84
2017-12-16,289478.7
2017-12-17,189690.58
2017-12-18,199388.0
2017-12-19,204117.17
2017-12-20,205605.83
2017-12-21,208621.81
2017-12-22,266278.5
2017-12-23,288999.1
2017-12-24,188857.97
2017-12-25,198917.95
2017-12-26,204105.23
2017-12-27,205875.5
2017-12-28,209578.4
2017-12-29,267636.0
2017-12-30,289354.1
2017-12-31,188059.67
